"V1","V2"
1316.25,29.6456
707.914,25.4103
957.273,30.7701
1139.51,34.5686
838.94,49.7341
1278.83,56.0857
886.191,29.3634
611.855,13.9079
1407.19,19.8952
699.871,32.1205
1352.47,31.9985
544.592,30.3904
259.379,18.3776
670.331,8.91953
759.831,8.0442
364.899,14.1314
783.833,17.9379
1121.06,31.8409
836.659,51.4694
790.167,67.534
944.53,74.5694
1278.69,85.4996
589.79,109.086
461.784,89.6453
873.112,78.7266
355.934,69.2732
983.794,65.6083
771.239,72.9617
519.196,67.4973
463.697,49.6245
802.479,37.3659
1592,42.4941
1604.23,61.785
511.588,69.3122
2225.54,67.5501
448.089,90.8851
543.549,74.4538
381.674,67.4942
1099.87,62.4298
780.048,82.3229
678.604,81.3163
368.716,68.5344
534.542,58.336
2399.09,63.8247
904.557,78.9142
512.664,55.8302
568.579,39.4227
830.039,35.5044
1102.47,37.3663
1109.22,37.2812
558.229,31.4832
700.695,19.0049
538.664,11.882
825.811,10.7632
344.833,9.7117
611.137,8.49667
321.122,8.98497
805.602,10.3922
208.464,13.1646
254.729,12.9026
715.554,16.0428
618.399,22.5713
1667.19,29.8446
734.244,34.6136
